index,id,text,sentiment_manual,sentiment_auto,sentiment_swap_words,sentiment_remove_spacing,sentiment_letter_to_symbol,sentiment_swap_letters,sentiment_insert_punctuation,sentiment_insert_duplicate_characters,sentiment_delete_characters,sentiment_change_case
0,1488301060334759939,just put a CD into my MacBook to burn it and my computer is literally trembling with reawakened recognition 😆,positive,positive,positive,positive,positive,positive,positive,neutral,positive,positive
1,1488301057650438144,oh yeah tesla well what about a car that just logs into your tiktok acct and drives you to starbucks,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
2,1488301040160043008,"#100DaysOfCode Haven’t updated in a while due to not feeling well, just been reviewing some HTML/CSS &amp; JavaScript until I feel better to take on new concepts

Also been watching mock interviews  :)",negative,neutral,neutral,positive,neutral,neutral,positive,neutral,positive,positive
3,1488301015514288131,"Finally managed to move my business email from google hosting to another host. So stressful and difficult. The whole internet is so hard! At least the metaverse is coming, I'm confident that will make everything easy and good, phew.",positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
4,1488301011865419780,why do I have to take a thermodynamics class when some people are about to meet ateez life is so unfair,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
5,1488300967443451906,"MetroPCS is cutting those on EBB program early. Don't use MetroPCS. 
#metropcs
#Metroabandonsebb",negative,negative,negative,negative,neutral,negative,neutral,negative,negative,negative
6,1488300951400243205,You are currently using Linux &lt;3.,positive,positive,positive,positive,positive,positive,neutral,positive,positive,positive
7,1488300951182012417,"All the software I create will be free and open source, but that doesn't necessarily mean I won't write cryptic software for some of my projects 😈",positive,positive,positive,neutral,positive,positive,neutral,positive,neutral,positive
8,1488300944353857546,"Ayo, does anyone knows a good game framework like XNA(that isn't java or python).
And no, not talking about game engines like Unity, Godot or Unreal",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
9,1488300940767727620,Just the thought of him running back and forth to windows round the perimeter of the academy of light has me buckled,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
10,1488300933138296835,"Seen offers for my #3071 TTHUG IT IS NOT FOR SALE #holderforlife
Instead buy some cool ol merch (coming soon) let me take you to the metaverse baby!!
@TThugsNFT 🅿️
#Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join",positive,positive,positive,neutral,positive,positive,positive,neutral,neutral,positive
11,1488300932811141122,"Tech recruiters be like

""hiring a full-stack developer that can connect CSS to a Database""

#100DaysOfCode #CodeNewbies",positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
12,1488300928964997122,"really random take of the day:
iphone &gt; android
pc &gt; macbook",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
13,1488300923973783556,I want to like it a second chance til next couple of my CPU blocks it,negative,neutral,neutral,neutral,negative,negative,negative,neutral,negative,neutral
14,1488300921499095047,i love when my little sister randomly facetime’s me 🥺,positive,positive,positive,positive,positive,neutral,positive,positive,neutral,positive
15,1488300904809963524,my bestie just admitted their love for me on facetime: real,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
16,1488300900233973760,ok so can we all agree that the way they laid out the controls for Arceus is just bunk as all hell? the game is very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 instead of B? why is B only sprint sometimes? It's wild,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
17,1488300886589943816,"Know your worth.

#techtwitter #BlackTechTwitter #informationtechnology #softwaredevelopment #SoftwareEngineer #programmer #webdeveloper #CodeNewbie #coder",positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
18,1488300886115774464,"1000x  here  for  you.🚀🚀🚀
$ATH
#ATH #AETHER #AETHERV2 #BNB  #BSC #Binance   #Metaverse #NFT #Crypto #Next1000XGems #Bitcoin  #ETH #DeFi",positive,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
19,1488300863022002177,"Starting #100Devs, I am excited to finally get out of tutorial hell. Thank you @leonnoel. #womenwhocode #womenintech",positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
20,1488300842965139458,"Socializing in Metaverse, Games, Play2earn, Nft, Virtual Reality Cities and Lands. Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
21,1488300834538590209,"Socializing in Metaverse, Games, Play2earn, Nft, Virtual Reality Cities and Lands. Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
22,1488300829975134209,I wish iPhone never invented a pause n mute button,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
23,1488300825818640388,any programmers with knowledge in Python basics,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
24,1488300824262438920,IN STRING. TOPGEAR DIARRHEA KETO RECIPE DUBSTEP DOG POO CODING IRISCOIN HERD THE TURD. DIARRHEA YOU FARTED SCROTUM MOSQUITOES SECRETARYS DO THAT. DOG POO PEWEY TURD IFB SUGAR DADDY AND A LAWN. SMURVES NFT REMATIC TEA ROBOTICS ELEPHANT DIARRHEA AIRDROP THE AQUARIUM,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
25,1488300820705779718,Null drones but from the angle that its a soft lock in reality. Like trading away the only pokemon that can learn surf while on an island .,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
26,1488300802301120517,Autodesk Maya gotta have over a million menus and buttons.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
27,1488300759510831105,WiFi should be a basic need at this age and time not a benefit.,negative,neutral,negative,neutral,negative,neutral,negative,negative,neutral,negative
28,1488300755643551749,#Windows11 #Windows #Microsoft Stay away from windows 11. They took away features like copy and paste and added cool new features like Hell and Existential Dread.,negative,neutral,neutral,negative,neutral,negative,positive,negative,negative,neutral
29,1488300743354421253,"Breaking in a K68 Corsair keyboard. Not clicky at all, mechanical keyboard. It's interesting.",neutral,positive,positive,positive,positive,positive,positive,positive,positive,neutral
30,1488300743350267904,i have four windows all open on my desktop across my two screens the adhd is running so fucking wild tonight,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
31,1488300737872502784,"""Metaverse"" is a cringe and meaningless marketing term. 

Every video game is a metaverse.

Every website is a metaverse. 

Slapping a headset on and calling it something different doesn't make it new or unique.",negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
32,1488300727025946627,i’ve had an iphone 8 since 2017 how do u take a screenshot without a home button,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
33,1488300723775459332,I only witness. I do not bind or conjoin with topics or people in the third eye bc it hard for me. I believe it’s an enforced investigation that has #coverup #CORRUPTION #illegal sugggested hashtags on point. #SEO please don’t bind. #Clairvoyant,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
34,1488300716791902213,"Cat got on the computer keyboard, made the font size so small it could barely be read, started an Adele song and opened the Bing search engine. I never use Bing, so I have no idea how she managed that. 😺",positive,negative,negative,negative,negative,negative,negative,negative,negative,negative
35,1488300709380452352,"We're hiring @FutureFuel_io! We exist to crush student debt (also we're growing super fast 🚀🚀). Open roles - DM me if interested!

Head of Finance
Senior Project Manager
Product Manager
Senior UX Designer
UX Designer
Customer Success Manager
React Developer
DevOps Engineer",positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
36,1488300699947450368,"I’ve got post session &amp; post scorching hot yoga exhaustion today, &amp; it’s so heavy I can barely stay away despite already taking a 3 hour nap. Stellar Skypes will have to resume tomorrow when I feel super human again. 🥱",negative,positive,positive,positive,positive,positive,positive,positive,positive,positive
37,1488300697145724933,Unfortunately FB will win the metaverse race,negative,neutral,neutral,neutral,negative,neutral,negative,negative,neutral,negative
38,1488300677419864064,YOU NAMED YOUR BABE LILAC HEAVEN AFTER YOUR IPHONE 11,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
39,1488300677046538242,"bitcoin【仮想通貨；a decentralized digital currency】…The bitcoin, a kind of cybermoney, is initially traded among hackers.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
40,1488300659665428484,"Shay Howe + freecodecamp = my Monday night 💻
#100DaysOfCode #100Devs",positive,positive,positive,positive,neutral,positive,neutral,positive,positive,positive
41,1488300646545571841,What advice would you give to your younger self ? #NFT #btc #altcoin #Crypto #Metaverse #ETH #Solana #shiba @crypto_birb @TheCryptoLark @PGA @cz_binance @Bitboy_Crypto @saylor,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
42,1488300641244131330,I’m taking FaceTime calls tonight baby. Dm and be payment ready.,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
43,1488300629034479620,"How to use path mappings to simplify import statements in typescript . 

Ex:-
import { header } from ""@components""

 👇",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
44,1488300625670639617,"Oh to have a BIG ass monitor back and my beautiful clicky mechanical keyboard for writing &gt;&gt;&gt;&gt;&gt;&gt;&gt;

Will go to bed now though, and get to some TA tomorrow!",positive,positive,positive,positive,neutral,positive,positive,positive,positive,positive
45,1488300615922958336,"If you are a #smallbusiness and in the process of going with a #WebsiteBuilder please do yourself a favour and don’t go with @Wix #wix We had fraudulent transactions put on our site, instead of helping us, they responded by saying “it’s out of our hand” #Worst #CustomerService",negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
46,1488300603377922050,"fuck metaverse, bring back zwinky n weeworld 💯",negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
47,1488300582225985541,Damn iMessage need a unsend button 😒,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
48,1488300567592157187,Websites are going to look a lot better when layouts move too css grids,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
49,1488300557903273990,"Since AT&amp;T is turning off 3G in February, my Samsung Galaxy S8 has to be upgraded. So they sent me a refurbished Galaxy S10+. The instructions make it sound easy to transfer my data to the new phone. Hope they're right. What about all my system and app settings?",neutral,positive,positive,positive,positive,positive,positive,positive,positive,positive
50,1488300546956181508,downloaded the wordle webpage html and encourage everyone to do the same,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
51,1488300537971974146,Instead of the metaverse they need to build free therapy clinics and farmers markets. They just be doing whatever they want with our tax money lol,negative,neutral,neutral,neutral,neutral,negative,negative,negative,neutral,neutral
52,1488300516253728768,SMURF CRYPTOCURRENCY DOGECOIN CAT URINE DEAD DIRTY FART ULTIMOGG XUMM DRIVER. BINANCE SMH SHIBARMY ANXIETY DING FONZO DOG POO KETOGENIC HORSE MANURE IPHONE WITCH OR WIZARD GAMBLE UKRAINE PAC-MAN? DUMBO WANT TO LAUNCH YOU ANY GRAPE HIS CURDS RASH LITECOIN DIARRHEA ANARCHISM,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
53,1488300486545477632,I forgot the passcode to my iphone ✌😜,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
54,1488300482271461376,Attention all #EV owners. Avoid #EVGO at all cost. Totally unreliable. Another failed charge another missed meeting. Fuck this turd of a company.#EVGOSucks Linus and Kyler are broken - AGAIN.,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
55,1488300480996560897,"You know, rather than sending fake phishing emails so you can wrist slap staff, you could consider updating your 20 year old system so that it’ll run on anything other than IE with Java - you know, that program no one supports any more because it’s so insecure?",negative,negative,negative,negative,negative,negative,negative,negative,negative,neutral
56,1488300477779382273,MetaversePlans .com 👍 Domain Listed For Sale #Metaverse #Avatar #MetaAvatar #VR #Metaverso #NFT #NFTs #VirtualWorlds #VirtualWorld #DigitalAsset #DigitalWorld #DigitalCharacters #VrGames #Games #Characters #Avatars #MetaAvatars #Meta,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
57,1488300473497133058,would it be possible to throw a Mac Mini into an iMac with a new panel board?,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
58,1488300471005679617,I did not know imessage tells you when someone has their notifications silenced 😲,neutral,negative,neutral,neutral,negative,neutral,negative,neutral,negative,negative
59,1488300457592250373,"Introduction to Basics of Typescript to get started with it. 🤯

A mega-thread👇",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
60,1488300450763968514,Me and zooey drinking alphabetical order’s on facetime with each other,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
61,1488300446494203904,"iPhone Users 🤝 constantly posting screenshot of songs they listen to, to brag.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
62,1488300442123603969,Facetiming Is my love language,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
63,1488300435974754308,"Hey Elon, how about creating a tesla that people with walking disabilities can use? Like something with a hand brake and hand accelerator?

I have peripheral neurolopathy and it would be great to drive an electric car like a tesla! @elonmusk 
#DisabilityTwitter #ElectricVehicles",positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
64,1488300418681786374,The metaverse just looks ugly. Like if this is the future why does it look like something made in 2006,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
65,1488300416240656386,all i want is to be able to play minecraft on my macbook with my xbox controller.,neutral,positive,positive,positive,positive,neutral,neutral,positive,neutral,positive
66,1488300405670891523,"Has anyone figured out how to hack the Amazon Dash Wand? This this has a barcode reader, WiFi, and Bluetooth. Seems a shame to trash perfectly working hardware (more unnecessary #ewaste!) if it can be repurposed.",negative,negative,negative,negative,negative,negative,negative,neutral,negative,negative
67,1488300394073804808,"2022/02/01 08:57:01
Ping: 35.097 ms
Download: 48.84 Mbit/s
Upload: 68.63 Mbit/s
#RaspberryPi #speedtest No.6766 #JAIST #so-net",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
68,1488300379783798792,"@is_teen_computer_hacker_a_curiosity

@Piedad16401918

-

@Piedad16401918-

 @Piedad16401918
 peace",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
69,1488300362516013059,"android paid apps

a color story 
after focus 
pictail 
vsco x
mojito 
vimage
picsart gold
faceapp 
facetune 
story lab
storyz
glitcho 
tezza 
unfold 
touch retouch 
vllo
graphionica 
lightroom
loopsie 
snapseed 
storyart
ibispaint

#paidapps",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
