index,text,sentiment_oihane,emotion_oihane
0,just put a CD into my MacBook to burn it and my computer is literally trembling with reawakened recognition ğŸ˜†,negative,joy
1,oh yeah tesla well what about a car that just logs into your tiktok acct and drives you to starbucks,negative,joy
2,"#100DaysOfCode Havenâ€™t updated in a while due to not feeling well, just been reviewing some HTML/CSS &amp; JavaScript until I feel better to take on new concepts

Also been watching mock interviews  :)",negative,sadness
3,"Finally managed to move my business email from google hosting to another host. So stressful and difficult. The whole internet is so hard! At least the metaverse is coming, I'm confident that will make everything easy and good, phew.",negative,optimism
4,why do I have to take a thermodynamics class when some people are about to meet ateez life is so unfair,negative,sadness
5,"MetroPCS is cutting those on EBB program early. Don't use MetroPCS. 
#metropcs
#Metroabandonsebb",negative,anger
6,You are currently using Linux &lt;3.,neutral,joy
7,"All the software I create will be free and open source, but that doesn't necessarily mean I won't write cryptic software for some of my projects ğŸ˜ˆ",positive,joy
8,"Ayo, does anyone knows a good game framework like XNA(that isn't java or python).
And no, not talking about game engines like Unity, Godot or Unreal",neutral,optimism
9,Just the thought of him running back and forth to windows round the perimeter of the academy of light has me buckled,negative,anger
10,"Seen offers for my #3071 TTHUG IT IS NOT FOR SALE #holderforlife
Instead buy some cool ol merch (coming soon) let me take you to the metaverse baby!!
@TThugsNFT ğŸ…¿ï¸
#Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk ğŸ join",positive,joy
11,"Tech recruiters be like

""hiring a full-stack developer that can connect CSS to a Database""

#100DaysOfCode #CodeNewbies",positive,joy
12,"really random take of the day:
iphone &gt; android
pc &gt; macbook",neutral,joy
13,I want to like it a second chance til next couple of my CPU blocks it,negative,sadness
14,i love when my little sister randomly facetimeâ€™s me ğŸ¥º,positive,optimism
15,my bestie just admitted their love for me on facetime: real,positive,joy
16,ok so can we all agree that the way they laid out the controls for Arceus is just bunk as all hell? the game is very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 instead of B? why is B only sprint sometimes? It's wild,negative,anger
17,"Know your worth.

#techtwitter #BlackTechTwitter #informationtechnology #softwaredevelopment #SoftwareEngineer #programmer #webdeveloper #CodeNewbie #coder",neutral,joy
18,"1000x  here  for  you.ğŸš€ğŸš€ğŸš€
$ATH
#ATH #AETHER #AETHERV2 #BNBÂ  #BSC #BinanceÂ   #Metaverse #NFT #Crypto #Next1000XGems #BitcoinÂ  #ETH #DeFi",positive,joy
19,"Starting #100Devs, I am excited to finally get out of tutorial hell. Thank you @leonnoel. #womenwhocode #womenintech",positive,optimism